,일시,eocs지역명,평균기온(°C),평균최고기온(°C),평균최저기온(°C),평균상대습도(%),최소상대습도(%),월합강수량(00~24h만)(mm),평균풍속(m/s),최대풍속(m/s),합계 일조시간(hr),일조율(%),최심적설(cm),평균지면온도(°C)
87,2020-09,인천,20.633333333333333,24.133333333333336,17.633333333333333,77.0,30.333333333333332,205.4,2.8333333333333335,11.666666666666666,208.4333333333333,55.94333333333333,0.0,22.333333333333332
88,2020-09,전북,20.27,25.39,16.4,82.2,33.1,201.82,1.6800000000000002,11.46,156.07,41.969,0.0,22.630000000000003
89,2020-09,제주,22.475,25.450000000000003,19.9,79.75,32.5,356.875,3.225,24.65,159.8,43.045,0.0,23.825000000000003
90,2020-10,강원,11.87142857142857,18.464285714285715,6.471428571428571,70.5,16.571428571428573,3.2785714285714285,1.3,6.542857142857143,208.84285714285716,60.074285714285715,0.0,14.771428571428572
91,2020-10,경기,12.4,19.619999999999997,6.279999999999999,72.4,19.8,7.9799999999999995,1.1,5.8,224.48000000000002,64.534,0.0,14.8
92,2020-10,광주전남,15.549999999999999,21.142857142857142,10.885714285714286,67.07142857142857,19.857142857142858,22.02857142857143,2.2642857142857142,8.47857142857143,226.85714285714286,64.73785714285715,0.0,17.864285714285714
93,2020-10,대구경북,13.626666666666667,20.066666666666666,8.273333333333333,69.53333333333333,22.4,9.706666666666667,1.7866666666666666,7.733333333333333,206.07999999999998,59.065333333333335,0.0,16.586666666666666
94,2020-10,대전충청,12.830769230769231,19.638461538461538,7.015384615384615,71.15384615384616,19.307692307692307,9.399999999999999,1.1923076923076923,6.161538461538461,212.93846153846152,61.21923076923077,0.0,15.553846153846155
95,2020-10,부산경남,15.24375,21.69375,10.25625,67.0625,17.5,21.91875,1.45625,6.61875,220.60625,63.025,0.0,17.8
96,2020-10,서울,14.3,19.5,9.6,61.0,20.0,0.0,2.1,7.2,227.1,65.3,0.0,14.4
97,2020-10,인천,14.366666666666667,18.333333333333332,10.233333333333333,64.0,19.333333333333332,9.266666666666667,2.6999999999999997,9.799999999999999,234.29999999999998,67.39,0.0,15.5
98,2020-10,전북,13.7,20.22,8.15,72.0,18.2,7.67,1.42,6.95,217.04000000000002,62.258,0.0,16.369999999999997
99,2020-10,제주,18.15,21.3,15.35,65.0,29.0,40.5,3.4,11.25,215.025,62.197500000000005,0.0,20.025
100,2020-11,강원,6.985714285714286,12.728571428571428,1.8714285714285714,61.785714285714285,9.214285714285714,38.707142857142856,1.6357142857142857,8.371428571428572,180.70714285714286,59.294285714285714,0.0,7.871428571428572
101,2020-11,경기,6.640000000000001,12.76,1.1800000000000002,70.6,13.4,58.5,1.3199999999999998,7.4799999999999995,172.78,56.624,0.0,7.359999999999999
